Planet_Name,Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,Stellar_Flux,Habitability_Score_Index,Stellar_Compatibility_Index,Orbital_Stability_Factor,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Target_Habitable
CoRoT-1 b,16.7,327.35,1.5089557,0.054235,1898.0,0.38,5950.0,0.9413067829119811,-0.3,319.9073933435463,0.05703740730338991,0.9934473406976726,0.9486522578181523,False,False,True,False,False,0
CoRoT-10 b,10.87,733.625075,13.2406,0.1055,600.0,3.7,5075.0,0.9413067829119811,0.26,84.56433760017799,0.13670214604464104,0.8959916168705633,0.04883816707253461,False,False,False,True,False,1
CoRoT-11 b,16.03,733.625075,2.99433,0.0436,1657.0,0.99,6440.0,0.9413067829119811,-0.03,494.9140796399405,0.05195738210362483,0.9072043459094562,0.0898347831105158,False,True,False,False,False,0
CoRoT-12 b,16.14,291.438,2.828042,0.04016,1442.0,0.411,5675.0,0.9413067829119811,0.16,583.276645823428,0.05104293933745904,0.9976452212959207,0.033059198231379865,False,False,False,True,False,0
CoRoT-13 b,9.92,415.704,4.03519,0.051,1700.0,2.34,5945.0,0.9413067829119811,0.01,361.7627912805462,0.06638555245982096,0.9938216096789019,0.03588092943413914,False,False,True,False,False,0
CoRoT-14 b,12.22,733.625075,1.51214,0.027,1952.0,6.840423374999999,6035.0,0.9413067829119811,0.05,1289.4613464547688,0.039212030663275,0.9854296346918991,0.056983112112944996,False,True,False,False,False,0
CoRoT-17 b,11.43,733.625075,3.7681,0.0461,1626.0,2.82,5740.0,0.9413067829119811,0.0,442.7158102501545,0.06020808808789475,0.9996791625904441,0.035612760273074806,False,False,True,False,False,0
CoRoT-18 b,14.68,733.625075,1.9000693,0.0295,1550.0,2.2,5440.0,0.9413067829119811,-0.1,1080.4095069291031,0.0419694787451062,0.9749319984895136,0.022055526773350355,False,False,True,False,False,0
CoRoT-19 b,14.46,352.78,3.89713,0.0518,2000.0,0.71,6090.0,1.9784731875085524,-0.02,737.0701530073884,0.044521840279993466,0.9786002937044377,0.08599518889210991,False,True,False,False,False,0
CoRoT-22 b,4.88,12.2,9.75598,0.092,885.0,0.249,5939.0,0.9413067829119811,0.17,111.19985622114368,0.1438594112898444,0.994256336049439,0.03795119536323517,False,False,True,False,False,1
CoRoT-23 b,11.77,733.625075,3.6313,0.048,1660.0,3.0,5900.0,0.9413067829119811,0.05,408.37604464728025,0.060934053067148865,0.9966979083805702,0.04831752647539973,False,False,True,False,False,0
CoRoT-24 b,3.7,5.7,5.1134,0.056,1070.0,0.9,4950.0,0.9413067829119811,0.3,300.0659174089834,0.10623666231941249,0.8586859700761011,0.04741928139199242,False,False,False,True,False,1
CoRoT-24 c,5.0,28.0,11.759,0.098,850.0,1.3,4950.0,0.9413067829119811,0.3,98.00174730994077,0.15049267698396177,0.8586859700761011,0.041839726732579074,False,False,False,True,False,1
CoRoT-25 b,12.11,85.81,4.86069,0.0578,1330.0,0.15,6040.0,0.9413067829119811,-0.01,281.67320485480485,0.07270074717835304,0.984861534087311,0.037365995699768006,False,True,False,False,False,0
CoRoT-26 b,14.12,165.26,4.20474,0.0526,1600.0,0.28,5590.0,0.9413067829119811,0.01,340.096967552093,0.06185150597526106,0.9921765415865171,0.040368603577582075,False,False,True,False,False,0
CoRoT-32 b,6.38913,47.6745,6.71837,0.071,938.0,1.1,5970.0,0.700003159130897,0.0,138.83442267570348,0.12206604342340842,0.991841462993374,0.024357654005070364,False,False,True,False,False,1
CoRoT-35 b,18.83108758,349.6112477,3.22748,0.0429,1747.0,0.29,6390.0,0.9413067829119811,-0.425,511.188047698221,0.04812610301487325,0.9201376505205444,0.004764523978200251,False,True,False,False,False,0
CoRoT-36 b,15.80466279,216.12331676,5.616531,0.066,1567.0,0.25,6730.0,0.9413067829119811,-0.1,216.04470574064285,0.0698317920624414,0.8175846052633144,0.08455113883102934,False,True,False,False,False,0
CoRoT-4 b,13.34,228.83,9.20205,0.09,1074.0,0.525,6190.0,0.9413067829119811,0.07,116.19636870904596,0.10021837428893816,0.9629816822724209,0.06005045062795446,False,False,False,True,False,1
CoRoT-5 b,15.558,148.42,4.0378962,0.04947,1438.0,0.217,6100.0,0.9413067829119811,-0.25,384.4766272170734,0.059357907803574986,0.9772225254130948,0.004070656055320931,False,True,False,False,False,0
