planet_name,host_star_name,radius_earth,pl_radj,mass_earth,pl_massj,orbital_period,semimajor_axis,eq_temp_k,density,star_temp_k,star_luminosity,star_metallicity,star_spectype,habitability_score,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled,habitable_binary,habitability_probability,habitability_rank
Kepler-395 c,Kepler-395,1.25,0.11151772,196.050555,,34.9894475,0.1561,264.0,1.33,3735.0,-0.02687,-0.5,G0 V,0.9442636532475084,1.0,1.865916080814932,False,False,False,True,False,False,False,-0.943548387096774,0.0,0.7826450958713044,0.2614444430558505,-1.5495750708215297,0.0,-2.014766201804758,0.0,-2.2857142857142856,1,0.99998724,1
TOI-2095 c,TOI-2095,1.33,0.11865486,7.4,0.023283,28.17232,0.137,297.0,1.33,3759.0,-1.45892,-0.24,M2.5 V,0.9494995244269224,0.5,1.580957743298655,False,False,False,False,False,True,False,-0.8790322580645159,-188.650555,0.5594268197580937,0.1659647324943449,-1.4560906515580736,0.0,-1.9885151763740767,-1.43205,-1.0476190476190477,1,0.9999734,2
K2-3 d,K2-3,1.458,0.13007427,2.2,0.00692197,44.55603,0.2014,305.2,1.33,3844.0,-1.23136,-0.157,M V,0.9281990740651138,0.5,2.2999400421292275,False,False,False,False,False,True,False,-0.7758064516129031,-193.850555,1.0958908220139956,0.4878963220315682,-1.4328611898017,0.0,-1.895542794640416,-1.20449,-0.6523809523809525,1,0.99996305,3
Kepler-437 b,Kepler-437,1.37,0.12222342,196.050555,,66.6505482,0.2737,294.0,1.33,4427.0,-0.02687,-0.32,G0 V,0.9475071633205728,1.0,2.957108644312308,False,False,False,True,False,False,False,-0.8467741935483868,0.0,1.8193480646951627,0.8493195196020845,-1.4645892351274787,0.0,-1.2578616352201255,0.0,-1.4285714285714286,1,0.9999608,4
Kepler-1649 c,Kepler-1649,1.06,0.09456687,196.050555,,19.53527,0.1038,234.0,1.33,3240.0,-2.28735,-0.15,G0 V,0.9353393448781616,1.0,1.1078234110604808,False,False,False,True,False,False,False,-1.0967741935483868,0.0,0.2766174676220796,0.0,-1.6345609065155808,0.0,-2.5561936013125512,-2.26048,-0.6190476190476191,1,0.99995756,5
LP 890-9 c,LP 890-9,1.367,0.12195578,25.3,0.0796027,8.457463,0.03984,272.0,1.33,2850.0,-2.84134,-0.028,M6 V,0.9384515633751952,0.5,0.2903874041796963,False,False,False,False,False,True,False,-0.8491935483870966,-170.750555,-0.0861114063288413,-0.3197320569379007,-1.526912181303116,0.0,-2.9827727645611155,-2.81447,-0.0380952380952381,1,0.9999285,6
Kepler-442 b,Kepler-442,1.56,0.13917412,196.050555,,112.306839,0.393,260.0,1.33,4569.0,-0.02687,-0.28,G0 V,0.9062736409982036,1.0,3.809693175421763,False,False,False,True,False,False,False,-0.693548387096774,0.0,3.314305952177748,1.445692790282065,-1.5609065155807365,0.0,-1.1025430680885973,0.0,-1.238095238095238,1,0.9999231,7
Kepler-1450 b,Kepler-1450,1.55,0.13828198,196.050555,,54.5094166,0.2392,310.0,1.33,4405.0,-0.02687,-0.34,G0 V,0.9145774571831196,1.0,2.641814414697911,False,False,False,True,False,False,False,-0.7016129032258063,0.0,1.4218019624966007,0.6768561680642863,-1.4192634560906516,0.0,-1.2819250751982498,0.0,-1.523809523809524,1,0.99991894,8
TOI-700 e,TOI-700,0.94918578,0.08468083,196.050555,,27.80968975735,0.1038,272.9,1.33,3482.0,-0.02687,-0.02,G0 V,0.9781145165314096,1.0,1.3575465226376582,False,False,False,True,False,False,False,-1.1861404999999996,0.0,0.5475529480092013,0.0,-1.5243626062322946,0.0,-2.2914957615531857,0.0,0.0,1,0.9999176,9
Kepler-186 e,Kepler-186,1.26,0.11240986,196.050555,,22.40777444,0.1218,322.0,1.33,3761.0,-0.02687,-0.21,G0 V,0.9365850269708929,1.0,1.3162116799681958,False,False,False,True,False,False,False,-0.9354838709677415,0.0,0.3706740169860667,0.089980879063199,-1.385269121813031,0.0,-1.9863275909215203,0.0,-0.9047619047619048,1,0.9998977,10
Kepler-296 e,Kepler-296,1.06,0.09456703,196.050555,,34.1420506,0.151,248.0,1.33,3526.0,-0.02687,-0.08,G0 V,0.9513075103108792,1.0,1.8173378098682649,False,False,False,True,False,False,False,-1.0967741935483868,0.0,0.7548981489054923,0.2359498606546108,-1.594900849858357,0.0,-2.243368881596937,0.0,-0.2857142857142857,1,0.99987113,11
Kepler-1410 b,Kepler-1410,1.39,0.12400771,196.050555,,60.8660974,0.2465,244.0,1.33,3808.0,-0.02687,-0.02,G0 V,0.9075948617059542,1.0,2.7728070114817007,False,False,False,True,False,False,False,-0.8306451612903225,0.0,1.629943489844878,0.7133484134621392,-1.6062322946175638,0.0,-1.934919332786437,0.0,0.0,1,0.99986804,12
