planet_name,host_star_name,radius_earth,mass_earth,orbital_period,semimajor_axis,eq_temp_k,star_temp_k,star_luminosity,star_metallicity,star_spectype,log_stellar_flux,log_surface_gravity,bulk_density_gcc,star_class,star_class_A,star_class_B,star_class_F,star_class_G,star_class_K,star_class_M,star_class_Unknown,label_is_measured,habitable_binary
11 Com b,11 Com,25.278394208236502,14905.521573531189,323.2099999999999,1.178,1685.519325460351,4874.000000000001,1.97823,-0.26,G8 III,1.8359394190978342,3.1915632718695255,5.087531429788389,G,False,False,False,True,False,False,False,0,0
11 UMi b,11 UMi,4.997233770527599,92.54259695039774,516.21997,1.5299999999999998,427.6570836061828,4213.0,-0.3791175683987049,-0.02,G0 V,-0.7485004300339024,1.5487964671898578,4.088472288634251,G,False,False,False,True,False,False,False,0,0
14 And b,14 And,22.136354303031652,9425.413838448581,186.76,0.7750000000000001,1537.8391014967656,4888.000000000002,1.83992,-0.21,K0 III,2.061316594987379,3.007405116207332,4.7906066209562095,K,False,False,False,False,True,False,False,0,0
14 Her b,14 Her,18.536839126047422,2559.4721615699996,1765.0388999999996,2.774,926.2745802426853,5247.774983588467,0.7269023646109893,0.06917454774687548,G0 V,-0.15931054886354276,2.134009670845321,2.2153979123199314,G,False,False,False,True,False,False,False,0,0
16 Cyg B b,16 Cyg B,5.535577763637787,101.79124076208953,798.5,1.6599999999999997,559.1979888785063,5750.000000000003,0.415493877158859,0.06,G0 V,-0.02472229892125103,1.4636914768574993,3.3084906705153507,G,False,False,False,True,False,False,False,0,0
17 Sco b,17 Sco,55.6861925109119,235398.89575904768,578.3799999999998,1.4500000000000002,1748.8663447417794,4157.000000000002,2.25435,-0.01,K3 III,1.9316139955300502,4.342659499306893,7.515713604851004,K,False,False,False,False,True,False,False,0,0
18 Del b,18 Del,25.159951093624283,12714.752080594559,982.85,2.4760000000000004,1639.4461011278436,4980.000000000002,1.63367,-0.06,G6 III,0.846168719303839,3.048598023694113,4.4013600101915245,G,False,False,False,True,False,False,False,0,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,15.419605628375056,2999.9999999999995,339258994.64708096,330.0,1700.0,4060.0000000000023,-0.37,-0.07414056448801953,K7 V,-5.407027879755775,2.6113587355587806,4.511384365986385,K,False,False,False,False,True,False,False,0,0
24 Boo b,24 Boo,12.904290828050511,1895.2741946148171,30.329999999999995,0.19400000000000003,1951.3319569969826,4816.000000000003,1.87691,-0.78,G3 IV,3.3013065401395476,2.5162124442605296,4.862705822389125,G,False,False,False,True,False,False,False,0,0
24 Sex b,24 Sex,13.964383736320839,1890.9095060182487,452.8000000000001,1.3329999999999997,1110.6139161137753,5097.999999999998,1.164,-0.03,G0 V,0.9143397011722817,2.3699420384282925,3.8283690445871077,G,False,False,False,True,False,False,False,0,0
