planet_name,host_star_name,radius_earth,mass_earth,orbital_period,semi_major_axis,equilibrium_temp,star_temp,star_luminosity,star_metallicity,spectral_type,log_mass_earth,log_orbital_period,log_semi_major_axis,stellar_flux,log_stellar_flux,surface_gravity,log_surface_gravity,density,habitable_zone,habitable,label_source,spectral_class,spectral_B,spectral_F,spectral_G,spectral_K,spectral_M
55 Cnc e,55 Cnc,2.08,7.81,0.7365437,0.01544,1958.0,5234.0,0.16046215261523034,0.31,,2.175887439948088,0.5518967584482581,0.015322016097784675,53.56340264142999,3.9993633767194314,1.8051960059171595,1.0314734138656734,0.20719173143615072,False,0,measured,,False,False,False,False,False
AU Mic b,AU Mic,4.07,17.0,8.463,0.0645,593.0,3700.0,-0.8375950275323908,0.04579100344853092,,2.8903717578961645,2.2473894575260958,0.06250520535139711,-16.021559875124353,,1.0262663825317386,0.7061948791833621,0.06019730996644871,False,0,measured,,False,False,False,False,False
AU Mic c,AU Mic,3.24,13.6,18.859019,0.1101,454.0,3700.0,-0.9748869576737573,0.02936576767495487,,2.681021528714291,2.9886582616266226,0.10445010135646442,-6.399849458530302,,1.2955342173449167,0.830965590866971,0.09545864566441363,False,0,measured,,False,False,False,False,False
BD+20 594 b,BD+20 594,2.23,16.3,41.6855,0.241,546.0,5766.0,-0.05552,-0.15,G,2.8507065015037334,3.753859284110427,0.21591750622247016,-0.076068614869424,-0.07911746861444569,3.2777654889501098,1.4534307912404314,0.3509008384724887,False,0,measured,G,False,False,True,False,False
BD-14 3065 b,BD-14 3065 A,21.59,3932.0,4.2889731,0.0656,2001.0,6935.0,1.06,-0.34,,8.27715777243181,1.6656241060433046,0.06353802080398764,19.601455569300388,3.025361732003229,8.43544939685035,2.244473808512948,0.09327536836801392,False,0,measured,,False,False,False,False,False
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,20.8487041,2479.0615746,8040000.0,200.0,1800.0,2320.0,-2.85,-0.005865472108431025,M9-L1,7.816038667318549,15.89993976553325,5.303304908059076,-5.6698948476487715e-06,-5.669910921563322e-06,5.703338952841943,1.9026057534316554,0.06530726673366831,False,0,measured,M,False,False,False,False,True
COCONUTS-2 b,COCONUTS-2 A,12.44196858,2002.3189641,402000000.0,7506.0,434.0,3406.0,-1.732,0.0,M3 V,7.6025605661731905,19.811962649070857,8.923591197573002,-2.446363021805335e-09,-2.446363024797681e-09,12.934661272092521,2.6343793529307256,0.24818604050913318,False,0,measured,M,False,False,False,False,True
CoRoT-1 b,CoRoT-1,17.385159,327.3649,1.5089686,0.02536,1915.0,5950.0,0.6635311533041017,-0.3,,5.794125490014601,0.9198717523597789,0.025043770439431522,82.10185236678112,4.420066992428623,1.0831155193698179,0.7338646189119074,0.014873305632170408,False,0,measured,,False,False,False,False,False
CoRoT-1 b,CoRoT-1,15.91678,340.0781,1.508976552,0.0259,1834.0,5950.0,0.5505542198589162,-0.3,,5.832111483317698,0.9198749217846168,0.02557027611153001,65.31165719849783,4.19436570675146,1.3423576386578424,0.8511579600319499,0.020133738129467133,False,0,measured,,False,False,False,False,False
CoRoT-1 b,CoRoT-1,16.7,327.35,1.5089557,3.3899944886241498,1898.0,5950.0,0.6266889521260963,-0.3,G0 V,5.794080112636982,0.919866610791581,0.0550345146136777,0.004339544940626586,0.004330156267393892,1.173760263903331,0.7764585084248719,0.01677931868308947,False,0,measured,G,False,False,True,False,False
CoRoT-10 b,CoRoT-10,10.547669,883.5674,13.2406,0.106,647.0,5075.0,-0.532103367103978,0.26,,6.785098711940313,2.6560970399276433,0.10074990310014306,-3.768551135210018,,7.941941772244964,2.1907527660756427,0.17975525551675828,False,0,measured,,False,False,False,False,False
CoRoT-10 b,CoRoT-10,10.87,874.0,13.2406,0.1055,600.0,5075.0,-0.5581742273834838,0.26,K1 V,6.774223886357614,2.6560970399276433,0.10029772131536394,-3.9907543583738465,,7.39694423262628,2.1278678578344015,0.1624554146822759,False,0,measured,K,False,False,False,True,False
CoRoT-11 b,CoRoT-11,15.58051,791.3967,2.994325,0.04351,1715.0,5751.294987757437,0.4692331618208543,0.1356238896259183,,6.675062150252372,1.3848746037411843,0.042590030622885175,19.724257633318715,3.0313048805158176,3.2600998076512,1.449292589032927,0.04995288979891791,False,0,measured,,False,False,False,False,False
CoRoT-11 b,CoRoT-11,15.984034,743.7222,2.99433,0.044,1735.0,6440.0,0.49564324170257357,-0.03,,6.6130112629342825,1.384875855516358,0.04305948946044697,20.372952460499906,3.0621262189129004,2.910971516541105,1.3637858128373974,0.04347733864216266,False,0,measured,,False,False,False,False,False
CoRoT-11 b,CoRoT-11,16.03,740.51,2.99433,0.0436,1657.0,6440.0,0.43619745430787527,-0.03,F6 V,6.608688647663718,1.384875855516358,0.04267627428043632,18.259979435969065,2.958029338662715,2.881800305026951,1.3562990421632262,0.04291822491098918,False,0,measured,F,False,True,False,False,False
CoRoT-12 b,CoRoT-12,15.13215,281.91521,2.828042,0.0394,1410.0,5675.0,0.1922823834736216,0.16,,5.645147241443382,1.342353445317352,0.03864362359220443,9.856828248382543,2.3847942136885125,1.2311677546130482,0.8025251051888153,0.019423522161954806,False,0,measured,,False,False,False,False,False
CoRoT-12 b,CoRoT-12,15.064896,277.46559,2.82805268,0.0392,1417.0,5891.987247547181,0.07,0.10310794870228446,,5.629294496976191,1.3423562352515015,0.038451186374252724,3.6250670347097156,1.5314908648506416,1.222578786369169,0.7986681372125529,0.0193741255004293,False,0,measured,,False,False,False,False,False
CoRoT-12 b,CoRoT-12,16.14,291.438,2.828042,0.04016,1442.0,5675.0,0.2522563655468004,0.16,,5.678252678392018,1.342353445317352,0.03937454747402156,12.446431747849665,2.59871377329258,1.1187656334213179,0.7508336707253332,0.016548055829027707,False,0,measured,,False,False,False,False,False
CoRoT-13 b,CoRoT-13,9.92,415.704,4.03519,0.051,1700.0,5945.0,0.2453270992540857,0.01,G0 V,6.0323761376143965,1.616451261307603,0.04974209189481407,7.505770957455551,2.140744869294616,4.224359391259105,1.6533321857906114,0.10166245138844102,False,0,measured,G,False,False,True,False,False
CoRoT-13 b,CoRoT-13,14.033668,416.99296,4.03519,0.051,1432.0,5945.0,0.17729038033281208,0.01,,6.035464590277663,1.616451261307603,0.04974209189481407,5.424190771358938,1.8600706728658736,2.1173191566734695,1.1369733878031654,0.036018574390645326,False,0,measured,,False,False,False,False,False
CoRoT-14 b,CoRoT-14,11.410762,2437.7561,1.51214,0.02687,1936.0,6035.0,0.5748517637335229,0.05,,7.799243393215587,0.9211349795370315,0.02651534065572741,63.35934388588406,4.164482127632879,18.722375768079523,2.981753816972695,0.3917037245076767,False,0,measured,,False,False,False,False,False
CoRoT-14 b,CoRoT-14,12.22,2415.4,1.51214,0.027,1952.0,6035.0,0.6140485485331988,0.05,F9 V,7.790034108264586,0.9211349795370315,0.026641930946421175,67.0293976662978,4.219939930375363,16.175087927011873,2.8434599575719823,0.3159998197868222,False,0,measured,F,False,True,False,False,False
CoRoT-17 b,CoRoT-17,11.43,772.29,3.7681,0.0461,1626.0,5740.0,0.25588703550561775,0.0,G2 V,6.650654139939497,1.5619479026974776,0.04506896336757812,9.581567603636909,2.3591135821499125,5.911367378290311,1.933167502181464,0.1234676297489608,False,0,measured,G,False,False,True,False,False
CoRoT-17 b,CoRoT-17,11.287463,781.8618,3.7681,0.0481,1610.0,5740.0,0.23895218520306538,0.0,,6.662956179774163,1.5619479026974776,0.046979001193994605,8.218848776949855,2.2212501682704713,6.136734234543197,1.9652552815967246,0.1297933275000071,False,0,measured,,False,False,False,False,False
CoRoT-18 b,CoRoT-18,12.845514,1048.839,1.90009,0.0288,1487.0,5688.478927237527,-0.17,0.15912846663578437,,6.956392098061478,1.0647417709936273,0.028393074501217887,-16.310004536568172,,6.356321480469884,1.9955600089505074,0.11813151075519163,False,0,measured,,False,False,False,False,False
CoRoT-18 b,CoRoT-18,14.68,1102.82,1.9000693,0.0295,1550.0,5440.0,0.3229257040165454,-0.1,G9 V,7.006532170065747,1.0647346332586345,0.029073247485707086,29.52899858986701,3.4186770053528495,5.117437207195836,1.811143251826895,0.08322194422557233,False,0,measured,G,False,False,True,False,False
CoRoT-18 b,CoRoT-18,14.022459,1039.3041,1.9000693,0.0286,1490.0,5440.0,0.25060318204715615,-0.1,,6.947268353239899,1.0647346332586345,0.028198654358678778,24.38061468614787,3.2339856813053256,5.285599866636633,1.8382612816621895,0.08998735663777833,False,0,measured,,False,False,False,False,False
CoRoT-19 b,CoRoT-19,13.33871,346.4347,3.89713,0.0512,1630.0,6090.0,0.30455796102516186,-0.02,,5.850576733677796,1.5886493192332465,0.04993236874820901,9.245282164601004,2.3268173230003244,1.9471245149556757,1.0808299542900954,0.034849077388736036,False,0,measured,,False,False,False,False,False
CoRoT-19 b,CoRoT-19,14.46,352.78,3.89713,0.0518,2000.0,6090.0,0.544,-0.02,F9 V,5.868675251015361,1.5886493192332465,0.05050298217310676,16.13353427982422,2.8410376121186425,1.68720312054621,0.9885009205783746,0.027855468530601692,False,0,measured,F,False,True,False,False,False
CoRoT-2 b,CoRoT-2,16.47723,1150.5446,1.7429935,0.02854,1548.0,5696.0,0.38585554280003764,0.03,,7.048859450599252,1.009049842284412,0.02814032094431027,37.69701320122656,3.655762418794461,4.237747248863777,1.6558914915543126,0.061399132824274824,False,0,measured,,False,False,False,False,False
CoRoT-2 b,CoRoT-2,16.36514,1134.6531,1.7429935,0.02835,1521.0,5598.0,0.36025171833588776,0.04,,7.03496318292796,1.009049842284412,0.027955576013331557,35.66892909586687,3.6019297778353296,4.2366604064890625,1.6556839681478581,0.06180382012263136,False,0,measured,,False,False,False,False,False
CoRoT-2 b,CoRoT-2,15.849526,1052.0173,1.7429975,2.884255399606162,1535.0,5625.0,0.3494376472920926,0.0,,6.959414941248779,1.0090513005441868,0.036106332422570664,0.0033426615051029623,0.0033370872306218912,4.187842349871819,1.6463178785352455,0.06307909247932829,False,0,measured,,False,False,False,False,False
CoRoT-20 b,CoRoT-20,9.42,1347.54,9.24285,0.0902,1002.0,5880.0,-0.27271241210343167,0.14,G2 V,7.20677780472792,2.3265799011999486,0.08636116564804344,-2.6673620353866974,,15.185876370914302,2.7841390330185343,0.384857848664558,False,0,measured,G,False,False,True,False,False
CoRoT-20 b,CoRoT-20,13.00244,1608.2198,9.24285,0.0892,1100.0,5880.0,-0.06127061242787568,0.14,,7.383504744250496,2.3265799011999486,0.08544348181746748,-0.6127913814225684,-0.9487916651047312,9.512522301487817,2.35256714672253,0.17465548145813542,False,0,measured,,False,False,False,False,False
CoRoT-20 b,CoRoT-20,11.209,1315.8162,9.24318,0.0891,1024.0,5754.474796875238,0.17,0.16256817003746704,,7.18297213239877,2.3266121182766617,0.0853516670995037,1.70405516227383,0.9947525582218328,10.472768189085278,2.4399762437044274,0.22305194377042725,False,0,measured,,False,False,False,False,False
CoRoT-22 b,CoRoT-22,4.88,12.2,9.75598,0.092,885.0,5939.0,-0.5816103331854834,0.17,G3 V,2.580216829592325,2.375461878977593,0.0880108773227133,-5.468227757549262,,0.5122950819672131,0.41362841874732525,0.025061770886296006,False,0,measured,G,False,False,True,False,False
CoRoT-23 b,CoRoT-23,13.22662,972.5598,3.6313,0.04809,1710.0,5900.0,0.3925988000770271,0.05,,6.8809592507633415,1.5328376062253035,0.046969460074153306,13.509197461603787,2.6747827560352446,5.5592801673197885,1.8808808663436603,0.10034161244464006,False,0,measured,,False,False,False,False,False
CoRoT-23 b,CoRoT-23,11.77,889.9,3.6313,0.048,1660.0,5900.0,0.2997881628320531,0.05,G0 V,6.792232187726598,1.5328376062253035,0.046883585898850416,10.354333332282827,2.4295994624541817,6.423744828845711,2.004683623778667,0.1302936375537548,False,0,measured,G,False,False,True,False,False
CoRoT-24 b,CoRoT-24,3.7,5.7,5.1134,0.056,1070.0,4950.0,-0.477263102789783,0.3,K1 V,1.9021075263969205,1.8104830832261576,0.05448818528406973,-12.110775185645615,,0.4163623082542001,0.3480918299542029,0.026864643030732733,False,0,measured,K,False,False,False,True,False
CoRoT-24 c,CoRoT-24,5.0,28.0,11.759,0.098,850.0,4950.0,-0.6034482198184957,0.3,K1 V,3.367295829986474,2.5462369049396063,0.0934903430873389,-5.0000919972989495,,1.12,0.7514160886839212,0.05347606087887683,False,0,measured,K,False,False,False,True,False
CoRoT-25 b,CoRoT-25,12.11,85.81,4.86069,0.0578,1330.0,6040.0,0.016216920703777005,-0.01,F9,4.463721822403716,1.7682673440975085,0.05619127964974249,0.38628055993932797,0.3266243044813471,0.5851262954979848,0.46066408585702434,0.011534980461794382,True,0,measured,F,False,True,False,False,False
CoRoT-26 b,CoRoT-26,14.12,165.26,4.20474,0.0526,1600.0,5590.0,0.2996613718696044,0.01,G5,5.113552828102942,1.6495697488500307,0.05126329393754153,8.618851759232129,2.263724897806494,0.8288927766052212,0.6037107436362646,0.014014417424563077,False,0,measured,G,False,False,True,False,False
CoRoT-27 b,CoRoT-27,11.287,3302.11,3.57532,0.0476,1500.0,5900.0,0.2697108674340918,-0.1,G2,8.102619727894082,1.5206766416366135,0.046501833651419786,9.472719475526667,2.3487737309387797,25.91996950870711,3.2928683721127023,0.5482357498142034,False,0,measured,G,False,False,True,False,False
CoRoT-3 b,CoRoT-3,11.623733,6979.5468,4.2567994,0.05783,1695.0,6740.0,0.6047011241877254,-0.02,,8.850882530797032,1.659522362463636,0.05621963999630782,14.388798386372526,2.7336398672439364,51.65780785654704,3.9638145249553305,1.0609666623012772,False,0,measured,,False,False,False,False,False
CoRoT-32 b,CoRoT-32,6.38913,47.6745,6.71837,0.071,938.0,5970.0,-0.1549,0.0,G0 VI,3.8851552789918418,2.0436032018471457,0.06859279146561172,-2.4452589451432845,,1.1678920369127266,0.7737552838654251,0.04363875613870497,False,0,measured,G,False,False,True,False,False
CoRoT-35 b,CoRoT-35,18.83108758,349.6112477,3.22748,0.0429,1747.0,6390.0,0.5819997573304363,-0.5,F6 V,5.859678053261759,1.4416060708509626,0.04200529414503013,25.165082307046386,3.2644257855118046,0.9859039121093681,0.6860741818288223,0.012498865003885518,False,0,measured,F,False,True,False,False,False
CoRoT-36 b,CoRoT-36,15.80466279,216.12331676,5.616531,0.066,1567.0,6730.0,0.3334609211791477,-0.1,F3 V,5.3804654721305285,1.8895712144765469,0.0639133257436528,6.091822076863894,1.9589423000326047,0.8652291759290519,0.6233839280820231,0.013069450017962303,False,0,measured,F,False,True,False,False,False
CoRoT-4 b,CoRoT-4,13.00244,232.33373,9.20205,0.0912,1058.0,6190.0,-0.15843571189679895,0.05,,5.45246974637385,2.3225886804885287,0.08727800810706061,-1.5158406138582883,,1.3742398818947814,0.8646773365312467,0.025231849198793874,False,0,measured,,False,False,False,False,False
CoRoT-4 b,CoRoT-4,13.34,228.83,9.20205,0.09,1074.0,6190.0,-0.1344447079400699,0.06798274874131101,,5.437339905196839,2.3225886804885287,0.08617769624105233,-1.32083579266718,,1.2858825459833803,0.826752184342829,0.02301213231958543,False,0,measured,,False,False,False,False,False
CoRoT-5 b,CoRoT-5,15.558,148.42,4.0378962,0.04947,1438.0,6100.0,0.2204807551448118,-0.25,F9 V,5.0067611325476555,1.616988574304112,0.048285274829495094,7.169304111745128,2.1003837292032386,0.6131756398612981,0.47820468339556044,0.009408979374032147,False,0,measured,F,False,True,False,False,False
CoRoT-5 b,CoRoT-5,14.078504,145.88397,4.0379156,0.0495,1397.0,5964.918251670408,0.18,0.0777201949788347,,4.989642955374009,1.616992425110456,0.048313860278550634,5.845911591988809,1.9236516262046868,0.7360283732012525,0.5515999601145346,0.012481001587689888,False,0,measured,,False,False,False,False,False
CoRoT-5 b,CoRoT-5,13.249038,149.3801,4.0378962,0.05004,1348.0,6100.0,0.07110980526575661,-0.25,,5.013166088931706,1.616988574304112,0.04882825868192209,2.259878150706304,1.18168981759612,0.8509892117076893,0.6157202052154825,0.015333846075596675,False,0,measured,,False,False,False,False,False
CoRoT-6 b,CoRoT-6,13.282665,940.7768,8.886593,0.0855,1025.0,6090.0,-0.1428819294391428,-0.2,,6.847768303825854,2.291179596901307,0.08204071033620948,-1.555375353014396,,5.332319457195804,1.8456665919773207,0.095839012700893,False,0,measured,,False,False,False,False,False
CoRoT-6 b,CoRoT-6,13.068,940.74,8.886593,0.0855,1017.0,6090.0,-0.15648804504653335,-0.2,F9 V,6.84772922798644,2.291179596901307,0.08204071033620948,-1.7034879726372538,,5.508728377916124,1.8731441034869378,0.10063605962992994,False,0,measured,F,False,True,False,False,False
CoRoT-7 b,CoRoT-7,1.860694,6.99226,0.853585,0.0169,1910.0,5250.0,0.11450007102072002,0.12,,2.0784735733496134,0.6171216017424747,0.016758783814954707,31.902335855398398,3.49354365389537,2.0196106598550307,1.1051279024980019,0.25912188111291756,False,0,measured,,False,False,False,False,False
CoRoT-7 b,CoRoT-7,1.585,5.74,0.85359159,0.017016,1756.0,5259.0,-0.0151096744578183,0.138,,1.9080599249242156,0.617125157008775,0.016872849489373683,-4.1526974350876715,,2.28482719501637,1.1893140462961087,0.3441402607548693,False,0,measured,,False,False,False,False,False
CoRoT-8 b,CoRoT-8,7.980808,68.65128,6.21229,0.0633,922.0,5080.0,-0.4430200890386129,0.31,,4.2435010776592454,1.9757865152924847,0.06137727967490342,-8.798449303513056,,1.077841530468534,0.7313296291668027,0.032241812002707176,False,0,measured,,False,False,False,False,False
CoRoT-8 b,CoRoT-8,6.938371,69.28694,6.212445,0.0636,870.0,5050.967125752571,-0.4,0.060320967707811576,,4.252586006309327,1.9758080061552292,0.0616593803867277,-7.8692962645808775,,1.439250354617893,0.8916907603858003,0.04952109254842404,False,0,measured,,False,False,False,False,False
CoRoT-9 b,CoRoT-9,11.948794,266.9772,95.272656,0.4021,420.0,5625.0,-0.6918352733856457,-0.01,,5.59090190226494,4.5671843324817045,0.3379711127449488,-0.3405059385894357,-0.4162823115498222,1.8699329150728214,1.0542886549592543,0.0373605570592409,False,0,measured,,False,False,False,False,False
CoRoT-9 b,CoRoT-9,11.623733,262.52758,95.2738,0.4027,413.0,5625.0,-0.7086526791151465,-0.01,,5.5741580304358,4.5671962153283046,0.33839895074348864,-0.3477445322558277,-0.42731897210404257,1.9430486926005397,1.0794460143406082,0.03990703383701525,False,0,measured,,False,False,False,False,False
EPIC 201595106 b,EPIC 201595106,1.565,7.67,0.87724,0.0177,2038.0,5679.0,-0.04915,0.01,,2.1598687907924505,0.6298026130426639,0.017545179215748816,-12.484384201485293,,3.1316028539640093,1.4186654319149419,0.47770933611091915,False,0,measured,,False,False,False,False,False
EPIC 211945201 b,EPIC 211945201,6.12,27.0,19.49213,0.148,886.35,6025.0,-0.5378280677195584,0.1,G0,3.332204510175204,3.0200409099959313,0.1380212978973747,-1.9539352518062991,,0.720876585928489,0.5428338039831644,0.02812036078669816,False,0,measured,G,False,False,True,False,False
EPIC 211945201 b,EPIC 211945201,5.5,11.0,19.491,-2.4110029133097957,809.0,6019.0,-0.6200618928807685,0.14,,2.4849066497880004,3.0199857653546953,0.16117224223867826,-0.008488475654742072,-0.008524707947869949,0.36363636363636365,0.31015492830383956,0.015783961298369786,False,0,measured,,False,False,False,False,False
