planet_name,host_star_name,habitability_prob
WISE J033605.05-014350.4 b,WISE J033605.05-014350.4,1.0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1.0
Kapteyn c,Kapteyn,0.9998
Barnard b,Barnard's star,0.9997
Barnard c,Barnard's star,0.9997
Barnard e,Barnard's star,0.9997
Barnard d,Barnard's star,0.9997
Proxima Cen b,Proxima Cen,0.9994
Kepler-1880 b,Kepler-1880,0.9992
GJ 667 C g,GJ 667 C,0.9986
GJ 667 C e,GJ 667 C,0.9985
GJ 667 C f,GJ 667 C,0.9985
GJ 667 C c,GJ 667 C,0.9984
Kepler-1124 b,Kepler-1124,0.9974
Proxima Cen d,Proxima Cen,0.9966
L 98-59 e,L 98-59,0.9962
L 98-59 f,L 98-59,0.9961
GJ 1002 b,GJ 1002,0.996
GJ 1002 c,GJ 1002,0.9959
GJ 3323 c,GJ 3323,0.9958
HD 11755 b,HD 11755,0.9956
GJ 3323 b,GJ 3323,0.9948
TRAPPIST-1 h,TRAPPIST-1,0.993
Kepler-441 b,Kepler-441,0.9919
TRAPPIST-1 e,TRAPPIST-1,0.9916
TRAPPIST-1 d,TRAPPIST-1,0.9915
TRAPPIST-1 f,TRAPPIST-1,0.9915
Teegarden's Star b,Teegarden's Star,0.9913
TRAPPIST-1 g,TRAPPIST-1,0.9913
Teegarden's Star c,Teegarden's Star,0.991
Teegarden's Star d,Teegarden's Star,0.9909
GJ 625 b,GJ 625,0.9909
GJ 1132 c,GJ 1132,0.9908
EPIC 206215704 b,EPIC 206215704,0.9901
TRAPPIST-1 c,TRAPPIST-1,0.9896
TRAPPIST-1 b,TRAPPIST-1,0.989
GJ 15 A c,GJ 15 A,0.9886
YZ Cet b,YZ Cet,0.9883
YZ Cet c,YZ Cet,0.988
Kepler-779 b,Kepler-779,0.988
YZ Cet d,YZ Cet,0.9878
Kepler-560 b,Kepler-560,0.9867
Ross 508 b,Ross 508,0.9863
TOI-2015 c,TOI-2015,0.9863
GJ 15 A b,GJ 15 A,0.9855
GJ 9066 c,GJ 9066,0.9845
Kepler-446 c,Kepler-446,0.9842
GJ 682 c,GJ 682,0.9834
Kepler-446 d,Kepler-446,0.9828
Kepler-446 b,Kepler-446,0.9816
TOI-2018 b,TOI-2018,0.9799
GJ 1061 d,GJ 1061,0.9792
GJ 674 b,GJ 674,0.9785
GJ 1061 c,GJ 1061,0.9782
Gaia-5 b,Gaia-5,0.9779
GJ 1061 b,GJ 1061,0.9776
GJ 1151 c,GJ 1151,0.977
Kepler-504 b,Kepler-504,0.9768
LHS 3154 b,LHS 3154,0.9766
GJ 806 c,GJ 806,0.9757
GJ 682 b,GJ 682,0.9743
HD 24064 b,HD 24064,0.9716
HD 233832 b,HD 233832,0.9712
Kepler-1321 c,Kepler-1321,0.9712
GJ 3138 d,GJ 3138,0.9693
GJ 411 b,GJ 411,0.9687
Kepler-1049 b,Kepler-1049,0.9679
GJ 3138 c,GJ 3138,0.9654
GJ 3138 b,GJ 3138,0.9645
Gl 725 A b,Gl 725 A,0.9633
gam1 Leo b,gam1 Leo,0.9621
HN Lib b,HN Lib,0.9617
GJ 3988 b,GJ 3988,0.9613
Kepler-1735 b,Kepler-1735,0.9606
GJ 876 e,GJ 876,0.9606
L 363-38 b,L 363-38,0.9595
Kepler-186 b,Kepler-186,0.9586
Kepler-186 e,Kepler-186,0.9577
Kepler-186 c,Kepler-186,0.9576
Kepler-186 d,Kepler-186,0.9571
Kepler-913 b,Kepler-913,0.957
GJ 1148 c,GJ 1148,0.9562
Kepler-1321 b,Kepler-1321,0.9557
Gl 686 b,Gl 686,0.9549
TOI-771 c,TOI-771,0.9526
HD 12648 b,HD 12648,0.9507
GJ 876 b,GJ 876,0.9505
Kepler-186 f,Kepler-186,0.9491
