smote_strategy,auprc,f1_score,opt_threshold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree
0.2,0.6111111111111112,0.6666666666666666,0.99980766,200,3,0.05,0.9,0.9
0.15,0.6111111111111112,0.6666666666666666,0.99659425,200,5,0.02,0.8,0.8
0.15,0.6,0.6666666666666666,0.9997185,200,3,0.05,0.9,0.8
0.15,0.6,0.6666666666666666,0.9997149,200,3,0.05,0.8,0.8
0.2,0.6,0.6666666666666666,0.9997763,200,3,0.05,0.9,0.8
0.15,0.6,0.6666666666666666,0.9997304,200,3,0.05,0.8,0.9
0.2,0.6,0.6666666666666666,0.9998229,200,3,0.05,0.8,0.9
0.15,0.41666666666666663,0.5,0.9961196,200,5,0.02,0.8,0.9
0.25,0.41666666666666663,0.5,0.9966832,200,5,0.02,0.8,0.8
0.2,0.4,0.5714285714285714,0.9810326,100,5,0.02,0.9,0.8
0.25,0.4,0.5714285714285714,0.9986111,100,4,0.05,0.8,0.9
0.15,0.39285714285714285,0.5,0.9966091,200,5,0.02,0.9,0.9
0.25,0.39285714285714285,0.5,0.99699354,200,5,0.02,0.9,0.8
0.2,0.39285714285714285,0.5,0.99682826,200,5,0.02,0.9,0.8
0.15,0.375,0.5,0.99657214,200,5,0.02,0.9,0.8
0.15,0.3666666666666667,0.5714285714285714,0.9800693,100,5,0.02,0.8,0.8
0.25,0.3666666666666667,0.5714285714285714,0.9968682,200,4,0.02,0.8,0.9
0.2,0.3666666666666667,0.5714285714285714,0.9966008,200,4,0.02,0.9,0.8
0.25,0.3666666666666667,0.5714285714285714,0.9967417,200,4,0.02,0.8,0.8
0.2,0.3611111111111111,0.5,0.9968443,200,5,0.02,0.8,0.8
0.15,0.3611111111111111,0.5,0.99845064,100,5,0.05,0.8,0.9
0.2,0.3611111111111111,0.5,0.99982625,200,5,0.05,0.9,0.8
0.15,0.3611111111111111,0.5,0.99834514,100,4,0.05,0.8,0.9
0.15,0.3611111111111111,0.5,0.99830997,100,4,0.05,0.8,0.8
0.2,0.35,0.5,0.9985782,100,5,0.05,0.8,0.8
0.2,0.35,0.5,0.9998086,200,4,0.05,0.8,0.9
0.2,0.35,0.5,0.9998565,200,4,0.05,0.9,0.9
0.2,0.35,0.5,0.99972314,200,5,0.05,0.8,0.9
0.2,0.35,0.5,0.999775,200,4,0.05,0.8,0.8
0.15,0.35,0.5,0.99978644,200,4,0.05,0.8,0.8
0.2,0.35,0.5,0.9998511,200,5,0.05,0.9,0.9
0.2,0.35,0.5,0.9997547,200,5,0.05,0.8,0.8
0.2,0.35,0.5,0.9998197,200,4,0.05,0.9,0.8
0.25,0.35,0.5,0.9998185,200,3,0.05,0.9,0.9
0.25,0.35,0.5,0.9997577,200,5,0.05,0.8,0.9
0.25,0.35,0.5,0.99980265,200,4,0.05,0.8,0.8
0.25,0.35,0.5,0.99979883,200,3,0.05,0.8,0.9
