planet_name,host_star_name,predicted_class,predicted_label,prob_rocky_habitable,prob_hot,prob_gas_giant,confidence
11 Com b,11 Com,3,Gas-Giant,0.02,0.0014,0.9786,0.9786
11 UMi b,11 UMi,1,Rocky-Habitable,0.9843,0.0055,0.0102,0.9843
14 And b,14 And,3,Gas-Giant,0.0197,0.0009,0.9793,0.9793
14 Her b,14 Her,3,Gas-Giant,0.0017,0.0006,0.9977,0.9977
16 Cyg B b,16 Cyg B,3,Gas-Giant,0.2719,0.0788,0.6492,0.6492
17 Sco b,17 Sco,3,Gas-Giant,0.0116,0.0008,0.9876,0.9876
18 Del b,18 Del,3,Gas-Giant,0.0082,0.0012,0.9906,0.9906
1RXS J160929.1-210524 b,1RXS J160929.1-210524,3,Gas-Giant,0.3761,0.0008,0.6231,0.6231
24 Boo b,24 Boo,3,Gas-Giant,0.0031,0.0359,0.961,0.961
24 Sex b,24 Sex,3,Gas-Giant,0.0075,0.0018,0.9908,0.9908
24 Sex c,24 Sex,3,Gas-Giant,0.0059,0.0016,0.9925,0.9925
2M0437 b,2MASS J04372171+2651014,1,Rocky-Habitable,0.7706,0.001,0.2284,0.7706
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,3,Gas-Giant,0.0068,0.001,0.9922,0.9922
2MASS J01225093-2439505 b,2MASS J01225093-2439505,3,Gas-Giant,0.1017,0.0006,0.8977,0.8977
2MASS J02192210-3925225 b,2MASS J02192210-3925225,3,Gas-Giant,0.2213,0.0009,0.7778,0.7778
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Rocky-Habitable,0.6698,0.0006,0.3296,0.6698
2MASS J03590986+2009361 b,2MASS J03590986+2009361,3,Gas-Giant,0.0038,0.0008,0.9954,0.9954
2MASS J04414489+2301513 b,2MASS J04414489+2301513,3,Gas-Giant,0.0048,0.0008,0.9944,0.9944
2MASS J11011926-7732383 b,2MASS J11011926-7732383,3,Gas-Giant,0.0019,0.0005,0.9976,0.9976
2MASS J11550485-7919108 b,2MASS J11550485-7919108,3,Gas-Giant,0.0035,0.0008,0.9957,0.9957
2MASS J12073346-3932539 b,2MASS J12073346-3932539,3,Gas-Giant,0.0439,0.0014,0.9547,0.9547
2MASS J19383260+4603591 b,2MASS J19383260+4603591,3,Gas-Giant,0.1041,0.1561,0.7398,0.7398
2MASS J21252752-8138278 b,2MASS J21252752-8138278,3,Gas-Giant,0.138,0.0014,0.8606,0.8606
2MASS J22362452+4751425 b,2MASS J22362452+4751425,3,Gas-Giant,0.1211,0.0007,0.8782,0.8782
2MASS J22501512+2325342 b,2MASS J22501512+2325342,3,Gas-Giant,0.067,0.0011,0.9319,0.9319
4 UMa b,4 UMa,1,Rocky-Habitable,0.9935,0.0035,0.003,0.9935
47 UMa b,47 UMa,1,Rocky-Habitable,0.5614,0.1107,0.328,0.5614
47 UMa c,47 UMa,1,Rocky-Habitable,0.5169,0.1019,0.3813,0.5169
47 UMa d,47 UMa,3,Gas-Giant,0.09,0.0287,0.8814,0.8814
51 Eri b,51 Eri,3,Gas-Giant,0.0018,0.0005,0.9977,0.9977
51 Peg b,51 Peg,2,Hot,0.0015,0.6767,0.3218,0.6767
55 Cnc B b,55 Cnc B,2,Hot,0.4367,0.4651,0.0982,0.4651
55 Cnc B c,55 Cnc B,1,Rocky-Habitable,0.9902,0.0044,0.0055,0.9902
55 Cnc b,55 Cnc,2,Hot,0.0033,0.6855,0.3112,0.6855
55 Cnc c,55 Cnc,2,Hot,0.0159,0.7479,0.2362,0.7479
55 Cnc d,55 Cnc,3,Gas-Giant,0.0303,0.0023,0.9674,0.9674
