sy_dist,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,habitable
396.332,406.0,0.101,2.31,152.0,0.33,88.24,802.0,29564.0,0.203,0.48,-0.07917,0.0,517.2881699999999,5.1166493596400136,4019.8019801980195,0
15.4614,4.2293,0.101,2.31,152.0,0.0,88.24,802.0,5773.0,1.29,0.96,-0.07917,0.2,517.2881699999999,0.9991346486673589,41.87425742574258,0
12.5855,0.736543,0.101,1.856,152.0,0.0,88.24,802.0,5272.0,0.943,0.905,-0.07917,0.37,516.83417,0.9124264451367256,7.292504950495048,0
12.5855,0.7365474,0.101,1.947,8.59,0.0,88.24,802.0,5620.0,0.98,1.015,-0.07917,0.0,516.92517,0.9726548978885428,7.292548514851484,0
12.5855,0.737,0.101,1.897,7.74,0.0,88.24,802.0,5172.0,0.954,0.873,-0.07917,0.35,516.87517,0.8951194184839044,7.297029702970296,0
12.5855,0.73654625,0.101,2.31,152.0,0.0,88.24,802.0,5234.0,0.943,0.905,-0.07917,0.31,517.2881699999999,0.9058497750086535,7.29253712871287,0
12.5855,0.7365417,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,7.29249207920792,0
12.5855,0.73654604,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,7.29253504950495,0
12.5855,10.300667155,0.101,2.31,152.0,0.0,88.24,802.0,5250.0,0.963515,0.9,-0.19695,0.35,517.40595,0.9086188992731049,101.98680351485147,0
9.7221,8.46321,0.101,2.31,17.1,0.0,88.24,802.0,3700.0,0.75,0.5,-1.04576,0.0,518.2547599999999,0.6403599861543787,83.79415841584158,0
9.7221,8.4631427,0.101,2.31,10.2,0.0,88.24,802.0,3665.0,0.82,0.6,-0.99,0.12,518.199,0.6343025268258913,83.79349207920792,0
9.7221,8.46321,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,83.79415841584158,0
9.7221,8.463,0.101,2.31,11.7,0.04,88.24,802.0,3700.0,0.75,0.5,-1.04576,0.0,518.2547599999999,0.6403599861543787,83.79207920792078,0
9.7221,8.463446,0.101,2.31,6.1,0.0,88.24,802.0,3665.0,0.82,0.6,-0.99,0.12,518.199,0.6343025268258913,83.79649504950494,0
9.7221,18.85882,0.101,2.31,14.2,0.0,88.24,802.0,3665.0,0.82,0.6,-0.99,0.12,518.199,0.6343025268258913,186.7209900990099,0
9.7221,18.859019,0.101,2.31,22.2,0.041,88.24,802.0,3700.0,0.75,0.5,-1.04576,0.0,518.2547599999999,0.6403599861543787,186.72296039603958,0
9.7221,18.859018,0.101,2.31,11.6,0.0,88.24,802.0,3665.0,0.82,0.6,-0.99,0.12,518.199,0.6343025268258913,186.72295049504947,0
9.7221,12.73596,0.101,2.31,1.053,0.00305,88.24,802.0,3678.0,0.744,0.51,-1.0381,0.23,518.2470999999999,0.6365524402907581,126.09861386138614,0
9.7221,33.39,0.101,2.31,152.0,0.0,88.24,802.0,3665.0,0.82,0.6,-0.99,0.12,518.199,0.6343025268258913,330.5940594059406,0
