,count,unique,top,freq,mean,std,min,25%,50%,75%,max
pl_rade,39206.0,,,,3.4796767144299146e-16,1.0000127533938943,-2.062598598032847,-0.595069684301494,-0.09999968930778466,0.38328292485274135,1.8508118385840944
pl_bmasse,39206.0,,,,-5.684341886080802e-14,0.0,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14
pl_orbper,39206.0,,,,0.0,1.000012753393948,-1.0198847277120646,-0.7462457222425865,-0.4163046259664727,0.36910538904144774,2.0421320559674987
pl_orbsmax,39206.0,,,,6.901358816952664e-16,1.0000127533939085,-1.6210195316603695,-0.42595227826427956,-0.03611100120224686,0.37075922399978034,1.56582647739587
pl_eqt,39206.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pl_dens,39206.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st_teff,39206.0,,,,5.509488131180698e-16,1.0000127533939671,-2.2478146139441453,-0.49931225798847223,0.1976052367510726,0.6663559793153099,2.414858335270983
st_lum,9684.0,,,,-3.521897079356135e-17,1.0000516355562816,-2.335485137457201,-0.5198294309529747,0.07950667726476122,0.6906077067165093,2.5062634132207355
st_met,24812.0,,,,1.145482404901016e-17,1.0000201521487622,-2.5565252889573795,-0.62296896947485,0.08242102115118392,0.6660685768468363,2.5996248963293658
st_spectype,39206,292,G0 V,36380,,,,,,,
pl_name,39206,6096,TrES-2 b,34,,,,,,,
hostname,39206,4548,Kepler-11,103,,,,,,,
disc_pubdate,39206,294,2016-05,12371,,,,,,,
habitability_score,39206.0,,,,-7.539299547931481e-17,1.000012753394001,-1.2210585346434306,-0.6054357048428178,-0.493238199567247,0.08795311668121487,2.9407011733904977
stellar_compatibility,39206.0,,,,1.957318151866827e-16,1.0000127533940024,-2.771952266493998,-0.564908679125026,0.45603638799963153,0.7464015494554881,1.6551707903696948
orbital_stability,39206.0,,,,-1.1598922381433049e-17,1.0000127533940684,-1.4259233327232517,-0.4958873224156601,-0.23547968156741075,0.7446129752956578,1.9792683278366858
spec_B,39206,2,False,39194,,,,,,,
spec_F,39206,2,False,38769,,,,,,,
spec_G,39206,2,True,37300,,,,,,,
spec_K,39206,2,False,38446,,,,,,,
spec_L,39206,2,False,39205,,,,,,,
spec_M,39206,2,False,38551,,,,,,,
spec_T,39206,2,False,39205,,,,,,,
spec_U,39206,2,False,39197,,,,,,,
habitable_binary,39206.0,,,,0.2500127531500281,0.43302558715182693,0.0,0.0,0.0,0.75,1.0
habitable_class,39206,3,low,13820,,,,,,,
